PID,AGE_BUILT,sale_price,AGE_SALE,DISTANCE,AV_BLDG_LOG,LAND_SF_LOG,LIVING_AREA_LOG,AGE_REMODEL,R_TOTAL_RMS,edu_Pct_Age_25_plus_bachelors_plus,target
1001968000,117,306000,12,3.633607476,13.46708719,8.588955558,7.624521325,12,9,30.9,0
1001980000,102,366700,5,3.656894521,12.97664372,8.078688229,6.966778619,102,7,30.9,1
1001981000,122,336000,20,3.666793304,13.0827906,8.216088099,7.311218384,122,8,30.9,1
1002052000,122,419000,18,3.669191049,13.07254268,8.373784608,7.605292808,122,7,30.9,1
1002054000,112,190000,24,3.667530257,13.39620004,7.981391582,7.978516639,112,9,30.9,0
1002056000,122,9,21,3.602732472,13.26680998,8.29404964,7.617464548,21,10,30.9,0
1002057000,132,0,35,3.610312979,13.21949009,8.29404964,7.702556113,132,9,30.9,0
1002058000,122,0,35,3.61833292,13.26125538,8.29404964,7.747855872,122,9,30.9,0
1002059000,122,75000,34,3.626378491,13.15444327,8.29404964,7.623348648,122,8,30.9,0
1002060000,122,525000,12,3.634516522,13.592492,8.317033476,7.720683498,13,9,30.9,1
1002287001,17,225000,16,3.614433137,12.69224178,7.569411792,7.236339343,17,7,30.9,0
1002288000,17,225000,15,3.608409544,12.69224178,7.976938757,7.623421981,17,7,30.9,0
1002293000,122,230000,12,3.57951309,13.18270561,8.095598701,7.337327462,122,6,30.9,1
1002294000,122,470000,18,3.573677062,13.2769711,8.123854263,7.303170051,8,7,30.9,0
1002295000,112,290000,14,3.567545958,12.99974366,8.223627176,7.420818398,112,8,30.9,1
1002296000,122,279900,20,3.560336197,12.97363132,8.236155662,7.461640392,122,6,30.9,1
1002297000,122,0,35,3.545312624,12.66634155,8.238008249,7.284820913,122,6,30.9,0
1002302000,122,9,6,3.550311973,13.02210096,7.721348613,7.43543802,122,6,30.9,1
1002303000,142,345000,10,3.568293447,13.07443284,7.796880343,7.129297549,142,5,30.9,1
1002304000,142,9,9,3.575033567,13.25566974,8.15536212,7.46565531,5,8,30.9,0
1002305000,107,78000,26,3.581277962,13.02077352,8.225503098,7.3524411,42,7,30.9,0
1002306000,107,9,12,3.579839814,13.03745887,8.254528882,7.420818398,107,6,30.9,0
1002307000,102,124000,33,3.573585735,13.04850153,8.28273588,7.391661813,102,5,30.9,0
1002320000,122,0,35,3.520734745,13.11694874,8.070906089,7.56755248,38,7,30.9,0
1002234000,112,0,35,3.497452244,12.82745526,6.82437367,7.315617512,112,6,55.8,0
1002248000,117,9,5,3.499228883,12.89470967,7.487173694,7.429520843,117,8,55.8,1
1002250000,122,9,35,3.535285367,12.7933036,7.74109909,7.021083964,122,4,55.8,0
1002276000,132,9,20,3.581467162,13.03309491,8.229511119,7.449614345,10,6,55.8,0
1002515000,122,799000,3,3.78403895,13.17552493,8.011355109,7.537430037,122,8,55.8,1
1002517000,117,9,7,3.757237449,13.40784303,7.92732436,7.562057676,8,8,55.8,0
1002552000,122,647500,16,3.725142232,13.74787391,8.532475815,7.850882665,19,11,55.8,1
1002555010,9,1000000,5,3.734342037,13.54514436,8.006367568,7.397561536,9,7,55.8,1
1002559000,142,300000,15,3.745433568,13.34949895,8.486733984,7.901007052,142,11,55.8,1
1002561000,163,266000,14,3.750734358,13.23533486,8.702177866,7.235619141,11,6,55.8,0
1002562000,122,867000,6,3.750829742,13.64401024,8.402904045,7.764126141,15,5,55.8,1
1002575000,17,151500,15,3.626301484,12.29815945,7.827240902,7.372118028,17,6,55.8,0
1002576000,17,294395,3,3.629968734,12.3370088,7.848933726,7.368970402,17,6,55.8,0
1002606000,112,0,35,3.627943663,13.02871182,7.861727078,7.427738841,112,8,55.8,0
1002607000,102,81000,23,3.634192481,13.04071939,7.563719668,7.249925537,11,6,55.8,0
1002608000,107,9,20,3.640441561,13.0236474,7.635786861,7.228388452,21,7,55.8,0
1002613000,17,151500,16,3.675460425,12.29815945,7.846980982,7.368970402,17,6,55.8,0
1002614000,17,151500,15,3.67473519,12.29815945,7.677400431,7.368970402,17,6,55.8,0
1002620000,117,335000,15,3.619213879,12.87748533,6.900730664,7.049254841,26,5,55.8,0
1002630000,102,239000,22,3.652842836,13.64673681,8.476371197,7.777457421,21,9,55.8,0
1002693000,122,743000,8,3.742588038,13.63817654,8.188689124,7.761489524,3,10,55.8,1
1002725000,122,350000,11,3.697000208,13.71712566,8.174139343,7.864343068,10,10,55.8,1
1002735000,122,296000,20,3.687588369,13.09786575,8.02486215,7.734733807,122,11,55.8,1
1002739000,122,50000,28,3.69322992,12.99589271,8.049427057,7.28756064,27,6,55.8,0
1002740000,134,0,35,3.694358843,13.20320577,8.03915739,7.675081858,134,8,55.8,0
1900001015,18,155000,18,3.740460973,12.41638624,7.602900462,7.210818453,18,7,55.8,0
1900002025,18,155000,18,3.745665423,12.41638624,7.722677516,7.210818453,18,6,55.8,0
1900002035,18,155000,17,3.750869941,12.41638624,7.655390645,7.210818453,18,6,55.8,0
1900002045,18,155000,17,3.756074568,12.41638624,7.761319181,7.210818453,18,6,55.8,0
1900006000,117,740000,7,3.757869765,13.49502977,8.070906089,7.40367029,10,7,55.8,1
1900031010,19,165000,17,3.857668296,12.47970397,8.056426768,7.233455419,19,8,55.8,0
1900031020,19,0,17,3.856079432,12.14250965,8.07589363,7.628031127,19,10,55.8,0
1900032000,26,140000,26,3.867435264,13.15869531,8.422882512,7.3524411,7,6,55.8,0
1900033000,102,0,15,3.882580208,13.13941713,7.655390645,7.341094924,26,6,55.8,0
1900035010,25,9,6,3.8939416,13.3257939,8.24407127,7.392647521,12,6,55.8,0
1900035020,25,144000,25,3.876071795,13.36906719,8.164794804,7.318539549,25,7,55.8,0
1900036020,23,607000,8,3.878063136,13.39239051,8.216088099,7.229838778,23,6,55.8,1
1900039000,117,650000,3,3.88412717,12.99111509,7.452402451,6.693943055,23,5,55.8,1
1900044000,132,9,14,3.860949652,13.42527883,7.625595072,7.564342204,20,8,55.8,0
1900047000,112,720000,4,3.867967129,13.23157646,7.670428522,7.262628601,7,6,55.8,1
1900055000,102,420000,16,3.94577539,13.25339164,8.863615759,7.500418921,4,8,55.8,0
1900058000,122,488000,11,3.950275477,13.4458951,7.982416347,7.714231145,13,6,55.8,1
1900064000,117,9,33,3.896108974,13.83756555,8.919319398,8.260492857,25,12,55.8,0
1900066005,97,401500,15,3.79250995,13.16695426,8.462948177,7.299121463,25,6,55.8,0
1100171000,196,975000,15,3.092404784,13.81591048,10.34009597,8.603737793,19,14,33.5,1
1100177000,142,0,35,2.986689015,12.49650094,9.077380245,8.077757564,142,8,33.5,0
1100188000,142,9,32,3.03564128,12.78577113,9.024010794,7.945909599,142,8,33.5,0
1100190000,137,520000,7,3.068320698,12.72961704,8.079308192,7.480935791,137,7,33.5,1
1100197010,21,191900,12,3.166829794,12.33796895,8.836809882,7.321188557,21,6,33.5,0
1100207000,142,9,11,3.054983619,12.84713675,9.290629203,7.925880317,10,9,33.5,0
1100209000,132,460000,20,3.035312881,13.17836557,7.443078374,7.730614066,23,12,33.5,0
1100258000,157,0,35,3.109001931,12.98883198,9.226213721,8.040446881,157,10,33.5,0
1100368000,132,0,35,3.338918958,12.74315064,7.60090246,7.33171497,132,9,33.5,0
1100372000,137,0,18,3.311437367,12.78015472,8.03915739,7.605890001,137,9,33.5,0
1100373000,132,0,35,3.315543013,12.53177279,7.43838353,7.592870288,132,7,33.5,0
1100375000,97,9,31,3.294479803,12.37031509,8.208219383,7.313220387,55,8,33.5,0
1100381000,132,0,35,3.284431588,11.88655585,7.840312983,7.31986493,132,10,33.5,0
1100383000,132,32000,11,3.284629312,12.59303428,7.731930722,7.367708572,40,6,33.5,0
1100385000,127,0,12,3.255060766,12.3562153,7.840312983,7.301147806,127,6,33.5,1
1100406000,142,130000,14,3.299300773,12.28349654,7.286191715,6.599053839,20,5,33.5,0
1100407000,142,300000,5,3.296194241,12.41876174,7.238496841,6.903747258,142,5,33.5,1
1100408000,122,0,35,3.295007507,12.58587801,7.643961949,7.283448229,122,6,33.5,0
1100409000,152,0,35,3.294036572,12.59506956,7.596392304,7.380255788,32,8,33.5,0
1100424000,9,815000,3,3.296242729,13.45654728,8.273846933,7.468513271,9,6,33.5,1
1100426010,137,9,8,3.286111367,12.9007187,8.063692634,7.535830463,137,7,33.5,1
1101692000,132,9,6,3.604081416,12.63460303,8.713582005,7.335633982,2,6,33.5,0
1101698000,132,82000,25,3.595356725,12.69158046,8.861775311,7.628031127,132,11,33.5,0
1101700000,132,1,3,3.593031946,12.71439514,8.188689124,7.502186487,132,8,33.5,1
1101707000,132,0,15,3.670045663,13.05515463,8.966611387,8.103947896,22,10,33.5,0
1101745000,132,319000,9,3.601127365,12.85839783,8.29404964,7.70391021,132,8,33.5,1
1101746000,132,280000,16,3.602344746,12.67012108,8.38935982,7.631625632,132,6,33.5,1
1101747000,132,9,4,3.599918746,12.97733761,8.324821299,7.662655856,4,7,33.5,0
1101770000,122,380000,5,3.396199564,12.93555176,8.04205641,7.469882197,5,9,33.5,1
1101789000,112,490000,4,3.480085513,12.8741584,8.330863613,7.458186157,4,7,33.5,1
1101808000,132,0,35,3.565077552,12.94967527,9.327589932,8.048788284,132,10,33.5,0
1101809000,132,641977,4,3.571628695,13.23604914,8.01763716,7.739533328,5,8,33.5,1
1101810000,132,519000,3,3.578804464,12.84924146,8.199189359,7.826203681,132,8,33.5,1
1101822000,108,0,35,3.599976452,12.75071982,8.249313746,7.817021396,108,9,33.5,0
1101823000,132,9,11,3.603327224,12.75361585,8.131530711,7.774099178,132,10,33.5,1
1101921000,19,0,26,3.395293726,12.88435996,8.702510257,7.832014181,19,7,33.5,0
1101936020,17,253500,16,3.324508254,12.81164465,7.935945103,7.693116944,17,5,33.5,0
1101937010,17,0,16,3.321898211,12.81164465,7.934871566,7.686162303,17,5,33.5,0
1101937020,17,165000,16,3.31798336,12.3823929,7.933438388,7.699480023,17,5,33.5,0
1101938010,17,9,6,3.315373591,12.81164465,7.932003152,7.678418902,17,5,33.5,0
1101938020,17,327015,16,3.311458939,13.23032052,7.930565854,7.801882198,17,5,33.5,0
1101939010,17,324705,16,3.308849361,13.1825173,7.929486523,7.684875893,17,5,33.5,0
1101939020,17,387320,16,3.304941295,13.25968757,8.215276959,7.815852536,17,6,33.5,0
1100311010,18,360000,16,3.30797256,13.01855721,7.848543482,7.562161631,18,5,23.5,0
1100312010,18,9,9,3.305929356,13.01855721,7.72001794,7.562161631,18,5,23.5,0
1100313010,18,254000,12,3.30438849,12.7207867,7.513163545,7.560080465,18,5,23.5,0
1100314010,18,243500,17,3.303252496,12.75277397,7.470793774,7.555905094,18,5,23.5,0
1100315010,18,675000,4,3.301308195,13.48825571,7.886832999,7.711369913,18,8,23.5,1
1100316010,18,275000,12,3.291193854,12.81997638,8.141481041,7.88427526,18,5,23.5,0
1100317010,18,339002,17,3.269025097,12.96125522,8.192570471,7.945201132,18,7,23.5,0
1100318010,18,336400,17,3.266524902,12.9640708,8.340456013,7.551186867,18,6,23.5,0
1100319010,18,399000,7,3.266505476,12.8262781,7.79893331,7.744309923,18,5,23.5,0
1100320010,18,243500,17,3.266486367,12.81997638,7.798112629,7.753623547,18,5,23.5,0
1100321010,18,155000,17,3.266467462,12.36759608,7.797291274,7.714766716,18,5,23.5,0
1100322010,18,265000,9,3.266448931,12.56277459,7.796057974,7.753623547,18,5,23.5,0
1100324010,18,1,3,3.266412652,12.81997638,7.794411206,7.749408668,18,5,23.5,0
1100325010,18,305000,14,3.266394963,13.04137022,8.097121931,7.756708911,18,5,23.5,0
1200591000,122,66500,26,2.997063119,12.45293272,7.644919345,7.467828105,122,8,23.5,0
1200628000,21,9,4,2.966935319,12.87927219,9.05134464,7.470537477,21,5,23.5,0
1200629000,112,205000,21,2.955400445,12.85081709,8.71604405,7.885893414,112,9,23.5,0
1200671000,132,55000,25,3.085563514,12.44114477,7.562681247,7.533479783,132,7,23.5,0
1200672000,116,349900,8,3.085561359,12.8967167,7.696212639,7.265429723,8,6,23.5,0
1200673000,112,90000,26,3.085559385,12.74694239,7.729735331,7.58171964,25,9,23.5,0
1200677000,122,9,9,3.115160449,12.6404491,8.383661799,7.880123841,122,8,23.5,1
1200710000,132,280000,20,3.069355814,12.73993097,7.951559331,7.661056382,21,8,23.5,0
1200713000,117,0,35,3.069404823,12.73699497,8.551787836,7.853993087,117,8,23.5,0
1200714000,117,0,35,3.068631687,12.55426169,8.117908942,7.295056416,117,7,23.5,0
1200716000,117,55000,5,3.068598565,12.90842731,8.22684089,7.432483808,5,6,23.5,0
1200728000,117,9,5,3.034147783,12.54539795,7.317212408,7.371489295,117,9,23.5,1
1200729000,122,115000,23,3.035585823,12.4159283,7.689371108,7.286876412,122,7,23.5,0
1200734000,132,0,14,3.109623321,12.82044714,7.696212639,8.030084094,132,10,23.5,0
1200740000,11,1000,12,3.042789772,12.55610961,8.329658068,7.62525355,11,8,23.5,0
